IoU, Prec., Rec., F1, ang. err., std. ang. err., F. Neg, F. Pos, T. Pos 
0.5, 0.9911268855368234, 0.9654278305963699, 0.978108581436077, 0.8750271885092163, 0.6641296591316581, 40.0, 10.0, 1117.0
0.55, 0.9911268855368234, 0.9654278305963699, 0.978108581436077, 0.8750271885092163, 0.6641296591316581, 40.0, 10.0, 1117.0
0.6000000000000001, 0.9911268855368234, 0.9654278305963699, 0.978108581436077, 0.8750271885092163, 0.6641296591316581, 40.0, 10.0, 1117.0
0.6500000000000001, 0.9902395740905058, 0.9645635263612792, 0.9772329246935202, 0.8736459076032028, 0.662821439740766, 41.0, 11.0, 1116.0
0.7000000000000002, 0.9831410825199645, 0.9576490924805532, 0.9702276707530647, 0.8749426003447369, 0.6643773558376967, 49.0, 19.0, 1108.0
0.7500000000000002, 0.9760425909494232, 0.9507346585998271, 0.9632224168126094, 0.8764140014293605, 0.6656893044548665, 57.0, 27.0, 1100.0
0.8000000000000003, 0.9600709849157054, 0.9351771823681936, 0.9474605954465849, 0.8723598297004205, 0.6637162252867084, 75.0, 45.0, 1082.0
0.8500000000000003, 0.940550133096717, 0.916162489196197, 0.9281961471103327, 0.869091923809806, 0.6622938830823596, 97.0, 67.0, 1060.0
0.9000000000000004, 0.8606921029281278, 0.8383751080380294, 0.8493870402802101, 0.8545745312224429, 0.6479184613281945, 187.0, 157.0, 970.0
0.9500000000000004, 0.4276841171251109, 0.41659464131374246, 0.42206654991243436, 0.8081580831315144, 0.6055032611859584, 675.0, 645.0, 482.0
Avg, 0.9111801242236025, 0.8875540190146932, 0.8992119089316988, 0.8654268442769133, 0.6564708908311525, --, --, --
Time: 17.632864700999107
