IoU, Prec., Rec., F1, ang. err., std. ang. err., cent. err., std. cent. err. ,F. Neg, F. Pos, T. Pos 
0.5, 0.9833187006145742, 0.9680207433016422, 0.975609756097561, 0.8816252975160092, 0.6855263250020226, 2.7172894330349675, 3.051356070397598, 37.0, 19.0, 1120.0
0.55, 0.9833187006145742, 0.9680207433016422, 0.975609756097561, 0.8816252975160092, 0.6855263250020226, 2.7172894330349675, 3.051356070397598, 37.0, 19.0, 1120.0
0.6000000000000001, 0.9833187006145742, 0.9680207433016422, 0.975609756097561, 0.8816252975160092, 0.6855263250020226, 2.7172894330349675, 3.051356070397598, 37.0, 19.0, 1120.0
0.6500000000000001, 0.9833187006145742, 0.9680207433016422, 0.975609756097561, 0.8816252975160092, 0.6855263250020226, 2.7172894330349675, 3.051356070397598, 37.0, 19.0, 1120.0
0.7000000000000002, 0.9736611062335382, 0.958513396715644, 0.9660278745644599, 0.8832509944388607, 0.6842412714070707, 2.5350948772357844, 2.445119220622127, 48.0, 30.0, 1109.0
0.7500000000000002, 0.9640035118525022, 0.9490060501296457, 0.9564459930313589, 0.8838603590061882, 0.6857937692781788, 2.3903971873145498, 1.961030564850786, 59.0, 41.0, 1098.0
0.8000000000000003, 0.9543459174714662, 0.9394987035436474, 0.9468641114982579, 0.885634229619662, 0.6871023746028698, 2.2798673090294317, 1.6211099314800517, 70.0, 52.0, 1087.0
0.8500000000000003, 0.9429323968393327, 0.9282627484874676, 0.9355400696864111, 0.8862983987042877, 0.6857557463216578, 2.200059646510221, 1.4510684422848792, 83.0, 65.0, 1074.0
0.9000000000000004, 0.8726953467954346, 0.8591184096802075, 0.8658536585365855, 0.8778742956255834, 0.6699935919973227, 2.02514559390113, 1.2103843688086193, 163.0, 145.0, 994.0
0.9500000000000004, 0.38366988586479367, 0.3777009507346586, 0.3806620209059233, 0.8170255303128307, 0.610230534935742, 1.3300809259692865, 0.7177766564159834, 720.0, 702.0, 437.0
Avg, 0.9024582967515364, 0.888418323249784, 0.895383275261324, 0.8760444997771449, 0.6765222588550934, 2.3629803272100274, 2.1611913466052837, --, --, --
Time: 16.517183150994242
