IoU, Prec., Rec., F1, ang. err., std. ang. err., F. Neg, F. Pos, T. Pos 
0.5, 0.9834494773519163, 0.975799481417459, 0.9796095444685466, 0.9583755490470579, 0.7463261187835626, 28.0, 19.0, 1129.0
0.55, 0.9834494773519163, 0.975799481417459, 0.9796095444685466, 0.9583755490470579, 0.7463261187835626, 28.0, 19.0, 1129.0
0.6000000000000001, 0.9834494773519163, 0.975799481417459, 0.9796095444685466, 0.9583755490470579, 0.7463261187835626, 28.0, 19.0, 1129.0
0.6500000000000001, 0.9825783972125436, 0.9749351771823682, 0.9787418655097615, 0.9581530792543207, 0.7466194444934741, 29.0, 20.0, 1128.0
0.7000000000000002, 0.980836236933798, 0.9732065687121867, 0.9770065075921909, 0.9541012540159145, 0.7410609564251806, 31.0, 22.0, 1126.0
0.7500000000000002, 0.9729965156794426, 0.9654278305963699, 0.9691973969631237, 0.948433901216396, 0.7347120049556503, 40.0, 31.0, 1117.0
0.8000000000000003, 0.9677700348432056, 0.9602420051858254, 0.963991323210412, 0.9447168142283588, 0.7324959531222942, 46.0, 37.0, 1111.0
0.8500000000000003, 0.9564459930313589, 0.9490060501296457, 0.952711496746204, 0.9352094651236706, 0.719807662606777, 59.0, 50.0, 1098.0
0.9000000000000004, 0.8876306620209059, 0.8807260155574762, 0.8841648590021691, 0.9043077580262744, 0.7059855314616114, 138.0, 129.0, 1019.0
0.9500000000000004, 0.45557491289198604, 0.4520311149524633, 0.45379609544468547, 0.8542555647285771, 0.6500729383302264, 634.0, 625.0, 523.0
Avg, 0.9154181184668989, 0.9082973206568713, 0.9118438177874187, 0.9374304483734687, 0.7269732847745902, --, --, --
Time: 17.749372755999048
