IoU, Prec., Rec., F1, ang. err., std. ang. err., F. Neg, F. Pos, T. Pos 
0.5, 0.9833187006145742, 0.9680207433016422, 0.975609756097561, 0.8816252975160092, 0.6855263250020226, 37.0, 19.0, 1120.0
0.55, 0.9833187006145742, 0.9680207433016422, 0.975609756097561, 0.8816252975160092, 0.6855263250020226, 37.0, 19.0, 1120.0
0.6000000000000001, 0.9833187006145742, 0.9680207433016422, 0.975609756097561, 0.8816252975160092, 0.6855263250020226, 37.0, 19.0, 1120.0
0.6500000000000001, 0.9833187006145742, 0.9680207433016422, 0.975609756097561, 0.8816252975160092, 0.6855263250020226, 37.0, 19.0, 1120.0
0.7000000000000002, 0.9736611062335382, 0.958513396715644, 0.9660278745644599, 0.8832509944388607, 0.6842412714070707, 48.0, 30.0, 1109.0
0.7500000000000002, 0.9640035118525022, 0.9490060501296457, 0.9564459930313589, 0.8838603590061882, 0.6857937692781788, 59.0, 41.0, 1098.0
0.8000000000000003, 0.9543459174714662, 0.9394987035436474, 0.9468641114982579, 0.885634229619662, 0.6871023746028698, 70.0, 52.0, 1087.0
0.8500000000000003, 0.9429323968393327, 0.9282627484874676, 0.9355400696864111, 0.8862983987042877, 0.6857557463216578, 83.0, 65.0, 1074.0
0.9000000000000004, 0.8726953467954346, 0.8591184096802075, 0.8658536585365855, 0.8778742956255834, 0.6699935919973227, 163.0, 145.0, 994.0
0.9500000000000004, 0.38366988586479367, 0.3777009507346586, 0.3806620209059233, 0.8170255303128307, 0.610230534935742, 720.0, 702.0, 437.0
Avg, 0.9024582967515364, 0.888418323249784, 0.895383275261324, 0.8760444997771449, 0.6765222588550934, --, --, --
Time: 18.231445680001343
