low/hyst, 15, 30, 45, 60, 75, 90, 105, 120, 135, 150, 165, 180, 195, 210, 225
0, -nan(ind), 0.0164363, 0.0408946, 0.0874671, 0.134438, 0.227273, 0.284467, 0.319075, 0.347633, 0.376244, 0.37936, 0.386831, 0.393763, 0.406735, 0.394797
15, 0.0321786, 0.0496177, 0.102757, 0.190628, 0.272088, 0.323751, 0.371198, 0.401852, 0.402811, 0.405561, 0.406598, 0.404757, 0.418311, 0.401852, 0.408589
30, 0.150871, 0.259841, 0.337411, 0.378395, 0.437387, 0.473327, 0.480834, 0.489531, 0.483567, 0.499014, 0.503258, 0.504931, 0.486594, 0.476784, 0.474823
45, 0.352236, 0.419433, 0.452683, 0.49252, 0.521311, 0.526041, 0.513477, 0.517728, 0.516293, 0.513894, 0.491365, 0.486058, 0.476721, 0.473394, 0.461443
60, 0.468959, 0.47291, 0.489264, 0.506082, 0.489157, 0.489388, 0.503734, 0.487295, 0.477146, 0.464489, 0.458228, 0.436695, 0.433225, 0.428139, 0.421763
75, 0.469806, 0.484369, 0.497684, 0.511706, 0.487487, 0.482773, 0.473081, 0.46577, 0.447992, 0.441233, 0.435979, 0.441702, 0.442173, 0.425514, 0.416812
90, 0.479678, 0.476531, 0.479796, 0.479388, 0.468318, 0.4587, 0.456904, 0.43194, 0.431183, 0.413816, 0.415807, 0.39933, 0.399554, 0.392144, 0.389888
105, 0.460041, 0.459129, 0.463136, 0.452874, 0.448421, 0.444304, 0.414693, 0.40596, 0.394855, 0.388262, 0.362168, 0.36185, 0.350992, 0.343934, 0.333095
120, 0.451055, 0.43123, 0.424, 0.393778, 0.393311, 0.380317, 0.372727, 0.355145, 0.358939, 0.327639, 0.323775, 0.289163, 0.291422, 0.284511, 0.269018
135, 0.395796, 0.39404, 0.384152, 0.387865, 0.369266, 0.353542, 0.319521, 0.32, 0.294233, 0.282716, 0.256384, 0.259446, 0.249235, 0.22199, 0.200533
150, 0.374487, 0.373288, 0.355374, 0.342521, 0.31432, 0.269347, 0.271608, 0.247826, 0.240308, 0.217277, 0.227237, 0.221232, 0.19759, 0.16469, 0.144944
165, 0.315534, 0.298155, 0.273342, 0.267839, 0.235264, 0.228052, 0.220681, 0.219085, 0.204491, 0.195206, 0.187838, 0.165793, 0.138787, 0.128977, 0.106512
180, 0.245385, 0.242471, 0.21498, 0.206085, 0.191968, 0.181055, 0.177027, 0.161149, 0.149724, 0.131638, 0.0904832, 0.080531, 0.0768095, 0.0606876, 0.0568421
