low/hyst, 60, 63, 66, 69, 72, 75, 78, 81, 84, 87, 90, 93, 96, 99, 102, 105, 108, 111, 114, 117, 120, 123, 126, 129, 132, 135
36, 0.420319, 0.433066, 0.452191, 0.456943, 0.460362, 0.466999, 0.46549, 0.477571, 0.487852, 0.493268, 0.496693, 0.496094, 0.502924, 0.503992, 0.494071, 0.501872, 0.503448, 0.501782, 0.504236, 0.506034, 0.513103, 0.506442, 0.506349, 0.505368, 0.510803, 0.510693
39, 0.435294, 0.455676, 0.459406, 0.467333, 0.473393, 0.475464, 0.48694, 0.494311, 0.494175, 0.499513, 0.500292, 0.511953, 0.51323, 0.500296, 0.506379, 0.507451, 0.504706, 0.507122, 0.509912, 0.516488, 0.51135, 0.512133, 0.511176, 0.51652, 0.516878, 0.514844
42, 0.475173, 0.475617, 0.484409, 0.48722, 0.494152, 0.499806, 0.500682, 0.504187, 0.512186, 0.517228, 0.518269, 0.523773, 0.51334, 0.512427, 0.512536, 0.509552, 0.506758, 0.509055, 0.516161, 0.512205, 0.513752, 0.512032, 0.513864, 0.515074, 0.513327, 0.51499
45, 0.49252, 0.500294, 0.511304, 0.520577, 0.523314, 0.521311, 0.520426, 0.526628, 0.529672, 0.528915, 0.526041, 0.516764, 0.516148, 0.516537, 0.51384, 0.513477, 0.5158, 0.522461, 0.518084, 0.519415, 0.517728, 0.520274, 0.52098, 0.517693, 0.519141, 0.516293
48, 0.502444, 0.513846, 0.517602, 0.518356, 0.52236, 0.521299, 0.522085, 0.525501, 0.528137, 0.526204, 0.516293, 0.517944, 0.522899, 0.519112, 0.51534, 0.518447, 0.526428, 0.523032, 0.525581, 0.526041, 0.527713, 0.528419, 0.520935, 0.522568, 0.518787, 0.518548
51, 0.516078, 0.522587, 0.519846, 0.518497, 0.516085, 0.514479, 0.514674, 0.520821, 0.517833, 0.504895, 0.507157, 0.511881, 0.508012, 0.504771, 0.507143, 0.511794, 0.515074, 0.518387, 0.518861, 0.521569, 0.522473, 0.515271, 0.516142, 0.51752, 0.516453, 0.518271
54, 0.519922, 0.5207, 0.518049, 0.514314, 0.512488, 0.512623, 0.514286, 0.508441, 0.498189, 0.4997, 0.50806, 0.505578, 0.504591, 0.505378, 0.509453, 0.513974, 0.520118, 0.520316, 0.523941, 0.524852, 0.51403, 0.514911, 0.515224, 0.512724, 0.514087, 0.513578
57, 0.52043, 0.519136, 0.515301, 0.511443, 0.510626, 0.514143, 0.508233, 0.5, 0.502016, 0.506935, 0.50392, 0.504129, 0.508617, 0.512312, 0.51627, 0.519208, 0.51901, 0.52099, 0.522101, 0.511489, 0.512375, 0.511888, 0.50989, 0.5098, 0.509291, 0.501913
60, 0.506082, 0.500699, 0.496614, 0.493894, 0.494422, 0.489157, 0.482556, 0.482808, 0.490192, 0.487805, 0.489388, 0.492151, 0.494393, 0.499899, 0.501317, 0.503734, 0.505645, 0.505645, 0.495422, 0.48791, 0.487295, 0.485538, 0.484189, 0.484189, 0.476605, 0.477146
63, 0.495775, 0.489289, 0.486259, 0.487625, 0.48201, 0.474645, 0.473984, 0.478825, 0.480203, 0.478323, 0.48045, 0.483282, 0.490264, 0.493388, 0.493075, 0.498178, 0.498888, 0.492901, 0.485598, 0.48478, 0.483027, 0.482293, 0.482293, 0.47451, 0.474097, 0.477903
66, 0.495069, 0.492369, 0.495953, 0.489463, 0.483384, 0.482661, 0.485282, 0.481098, 0.476053, 0.478769, 0.479877, 0.483061, 0.482014, 0.483607, 0.490244, 0.491168, 0.485132, 0.477744, 0.476308, 0.474538, 0.473251, 0.473251, 0.466598, 0.465977, 0.47162, 0.471694
69, 0.494768, 0.499902, 0.493005, 0.487026, 0.483015, 0.477856, 0.473802, 0.465909, 0.470782, 0.474256, 0.477959, 0.479055, 0.478645, 0.488349, 0.489069, 0.482234, 0.476404, 0.474694, 0.474618, 0.472746, 0.472746, 0.460681, 0.461237, 0.466393, 0.466461, 0.461905
72, 0.514651, 0.511858, 0.505823, 0.501511, 0.488571, 0.488073, 0.485306, 0.488956, 0.491111, 0.485801, 0.4842, 0.482977, 0.489362, 0.490283, 0.484061, 0.473975, 0.473081, 0.473695, 0.47037, 0.47037, 0.460852, 0.460852, 0.466805, 0.466874, 0.462004, 0.461088
75, 0.511706, 0.507924, 0.503823, 0.488367, 0.487666, 0.487487, 0.48999, 0.492137, 0.486842, 0.485453, 0.482773, 0.489159, 0.490081, 0.484264, 0.473975, 0.473081, 0.473695, 0.47037, 0.47037, 0.46577, 0.46577, 0.471414, 0.471281, 0.463958, 0.462839, 0.447992
