low/hyst, 15, 30, 45, 60, 75, 90, 105, 120, 135, 150, 165, 180, 195, 210, 225
0, -nan(ind), 0.00540541, 0.0322374, 0.0582975, 0.0836066, 0.182153, 0.283398, 0.366139, 0.399395, 0.44004, 0.451008, 0.466194, 0.464451, 0.464016, 0.482365
15, 0.0137067, 0.0338259, 0.063233, 0.125767, 0.231282, 0.324004, 0.39468, 0.428685, 0.461128, 0.464478, 0.477711, 0.475627, 0.476482, 0.494014, 0.502953
30, 0.0915228, 0.125383, 0.192254, 0.319882, 0.403914, 0.430327, 0.453005, 0.461477, 0.474067, 0.480243, 0.480408, 0.479838, 0.48996, 0.49003, 0.488574
45, 0.198483, 0.272525, 0.364072, 0.404208, 0.440527, 0.477079, 0.467078, 0.483299, 0.485481, 0.489139, 0.480781, 0.486626, 0.492513, 0.495706, 0.47772
60, 0.33466, 0.368051, 0.393521, 0.413545, 0.453443, 0.456421, 0.465828, 0.464638, 0.460587, 0.474486, 0.468459, 0.486125, 0.492528, 0.463589, 0.464278
75, 0.405852, 0.41782, 0.43949, 0.454865, 0.46191, 0.460358, 0.458958, 0.457351, 0.472319, 0.467971, 0.476495, 0.477287, 0.451891, 0.443011, 0.423169
90, 0.439236, 0.43949, 0.444186, 0.447863, 0.43827, 0.436186, 0.423607, 0.433045, 0.433045, 0.435217, 0.417092, 0.402458, 0.387215, 0.355948, 0.339183
105, 0.434468, 0.419892, 0.407245, 0.388326, 0.391429, 0.381576, 0.38796, 0.404396, 0.405269, 0.384063, 0.364327, 0.337292, 0.317375, 0.302843, 0.29
120, 0.365463, 0.363512, 0.359318, 0.358028, 0.359039, 0.354713, 0.365564, 0.361468, 0.34386, 0.31071, 0.286245, 0.246272, 0.235944, 0.235724, 0.213582
135, 0.371821, 0.362385, 0.355633, 0.35776, 0.355012, 0.348652, 0.347059, 0.335006, 0.301728, 0.262051, 0.218278, 0.187009, 0.190515, 0.18306, 0.12792
150, 0.29816, 0.309553, 0.295226, 0.275094, 0.269009, 0.273367, 0.237824, 0.198391, 0.156667, 0.138787, 0.0849195, 0.0891813, 0.122286, 0.081296, 0.0648729
165, 0.291111, 0.285785, 0.264817, 0.262262, 0.268188, 0.194324, 0.122, 0.121714, 0.105933, 0.0807636, 0.0841642, 0.0921053, 0.0745914, 0.0592481, 0.0592481
180, 0.205836, 0.201877, 0.195436, 0.178689, 0.153566, 0.104058, 0.0879412, 0.0472727, 0.0493192, 0.0683582, 0.0638681, 0.0583459, 0.0446809, 0.0446809, 0.0429224
