, 90, 103, 115, 127
51, 0.441939, 0.439496, 0.440295, 0.451471
63, 0.437328, 0.453741, 0.465409, 0.469439
76, 0.445005, 0.457232, 0.454088, 0.461875
89, 0.461088, 0.456993, 0.460105, 0.437433
