IoU, Prec., Rec., F1, ang. err., std. ang. err., cent. err., std. cent. err. ,F. Neg, F. Pos, T. Pos 
0.5, 0.98145285935085, 0.9921875, 0.9867909867909868, 22.646685389130134, 29.22935434428978, 1.3611533102301971, 1.6384721543346878, 5.0, 12.0, 635.0
0.55, 0.98145285935085, 0.9921875, 0.9867909867909868, 22.646685389130134, 29.22935434428978, 1.3611533102301971, 1.6384721543346878, 5.0, 12.0, 635.0
0.6000000000000001, 0.98145285935085, 0.9921875, 0.9867909867909868, 22.646685389130134, 29.22935434428978, 1.3611533102301971, 1.6384721543346878, 5.0, 12.0, 635.0
0.6500000000000001, 0.9799072642967542, 0.990625, 0.9852369852369852, 22.639123673553723, 29.25177618045029, 1.3424556919310786, 1.57061414122172, 6.0, 13.0, 634.0
0.7000000000000002, 0.973724884080371, 0.984375, 0.9790209790209791, 22.53839108664838, 29.292000176480787, 1.2796901525725934, 1.3618111744679104, 10.0, 17.0, 630.0
0.7500000000000002, 0.9659969088098919, 0.9765625, 0.9712509712509714, 22.481473593759535, 29.39714456395331, 1.2131533025080048, 1.1414267439493457, 15.0, 22.0, 625.0
0.8000000000000003, 0.9505409582689336, 0.9609375, 0.9557109557109557, 22.02234617776987, 29.26584341691727, 1.1290219302969668, 0.8906647118314811, 25.0, 32.0, 615.0
0.8500000000000003, 0.8918083462132921, 0.9015625, 0.8966588966588966, 20.541402538014864, 27.96937741673055, 1.055565205402623, 0.7138553239464022, 63.0, 70.0, 577.0
0.9000000000000004, 0.723338485316847, 0.73125, 0.7272727272727273, 18.51331239938736, 25.34817765547569, 0.9495055283661882, 0.5796797852232627, 172.0, 179.0, 468.0
0.9500000000000004, 0.2581143740340031, 0.2609375, 0.2595182595182595, 20.120352425975, 24.96708696193629, 0.6691253038692536, 0.3432607417078929, 473.0, 480.0, 167.0
Avg, 0.8687789799072643, 0.87828125, 0.8735042735042735, 21.679645806249916, 28.317946940481352, 1.1721977045637302, 1.151672908535208, --, --, --
Time: 7.177043969000351
