IoU, Prec., Rec., F1, ang. err., std. ang. err., cent. err., std. cent. err. ,F. Neg, F. Pos, T. Pos 
0.5, 0.9921875, 0.9921875, 0.9921875, 0.9757582372071484, 0.9371444325237569, 1.3178362662387026, 1.7185174612887422, 5.0, 5.0, 635.0
0.55, 0.9921875, 0.9921875, 0.9921875, 0.9757582372071484, 0.9371444325237569, 1.3178362662387026, 1.7185174612887422, 5.0, 5.0, 635.0
0.6000000000000001, 0.9921875, 0.9921875, 0.9921875, 0.9757582372071484, 0.9371444325237569, 1.3178362662387026, 1.7185174612887422, 5.0, 5.0, 635.0
0.6500000000000001, 0.990625, 0.990625, 0.990625, 0.972185880584672, 0.9335530107032298, 1.3013547025273788, 1.6689720898846672, 6.0, 6.0, 634.0
0.7000000000000002, 0.98125, 0.98125, 0.98125, 0.9640219229140558, 0.9254980793263418, 1.2028485254671097, 1.3347943307787655, 12.0, 12.0, 628.0
0.7500000000000002, 0.9734375, 0.9734375, 0.9734375, 0.956230114807449, 0.9167097328505571, 1.1370124530409382, 1.1166679809578046, 17.0, 17.0, 623.0
0.8000000000000003, 0.9609375, 0.9609375, 0.9609375, 0.9347123823447118, 0.8863913541433057, 1.0605305794061965, 0.8808040194482817, 25.0, 25.0, 615.0
0.8500000000000003, 0.925, 0.925, 0.925, 0.9042731500824667, 0.8658324688562493, 0.9863737164805702, 0.690160802583887, 48.0, 48.0, 592.0
0.9000000000000004, 0.7796875, 0.7796875, 0.7796875, 0.8683084157420109, 0.8041814738025304, 0.876416328935433, 0.506279004159787, 141.0, 141.0, 499.0
0.9500000000000004, 0.3390625, 0.3390625, 0.3390625, 0.8873455049410447, 0.7792948594436906, 0.6404852083558075, 0.34836123835456406, 423.0, 423.0, 217.0
Avg, 0.8926562500000002, 0.8926562500000002, 0.8926562500000002, 0.9414352083037857, 0.8922894276697175, 1.115853031292954, 1.170159185003398, --, --, --
Time: 7.883585816007326
