IoU, Prec., Rec., F1, ang. err., std. ang. err., cent. err., std. cent. err. ,F. Neg, F. Pos, T. Pos 
0.5, 0.9891135303265941, 0.99375, 0.9914263445050663, 1.3476677249353706, 1.6550249000288864, 1.2847323931022099, 1.7457727136873835, 4.0, 7.0, 636.0
0.55, 0.9891135303265941, 0.99375, 0.9914263445050663, 1.3476677249353706, 1.6550249000288864, 1.2847323931022099, 1.7457727136873835, 4.0, 7.0, 636.0
0.6000000000000001, 0.9875583203732504, 0.9921875, 0.9898674980514419, 1.3390139029907693, 1.6418866597073702, 1.264079624296033, 1.6677063554731641, 5.0, 8.0, 635.0
0.6500000000000001, 0.9828926905132193, 0.9875, 0.9851909586905688, 1.3243963650014883, 1.62710570166299, 1.2054965513835834, 1.4378379653790976, 8.0, 11.0, 632.0
0.7000000000000002, 0.9797822706065319, 0.984375, 0.9820732657833202, 1.3136881954043789, 1.6075226791965411, 1.172052429099814, 1.311434802686161, 10.0, 13.0, 630.0
0.7500000000000002, 0.9720062208398134, 0.9765625, 0.9742790335151987, 1.2843465106896497, 1.5554210373519213, 1.1041549652783034, 1.0729273026923316, 15.0, 18.0, 625.0
0.8000000000000003, 0.9548989113530326, 0.959375, 0.9571317225253311, 1.2290992812737402, 1.4549425657588713, 1.018660524319054, 0.7866016694796493, 26.0, 29.0, 614.0
0.8500000000000003, 0.9082426127527217, 0.9125, 0.9103663289166017, 1.189707078489893, 1.4386125412827968, 0.9556834399876338, 0.6300266657887535, 56.0, 59.0, 584.0
0.9000000000000004, 0.7558320373250389, 0.759375, 0.7575993764614186, 1.126704413916364, 1.3879862622198718, 0.8857991147642584, 0.5344485421661148, 154.0, 157.0, 486.0
0.9500000000000004, 0.3110419906687403, 0.3125, 0.3117692907248636, 0.985072721790639, 1.00506944869178, 0.635364736172308, 0.3385112862738151, 440.0, 443.0, 200.0
Avg, 0.8830482115085537, 0.8871874999999999, 0.8851130163678878, 1.2487363919427663, 1.5028596695929917, 1.0810756171505411, 1.1271040017313854, --, --, --
Time: 8.008680026003276
