IoU, Prec., Rec., F1, ang. err., std. ang. err., cent. err., std. cent. err. ,F. Neg, F. Pos, T. Pos 
0.5, 0.9921259842519685, 0.984375, 0.988235294117647, 1.3135526624356284, 1.87435892044732, 1.3934748039842497, 1.6475487454437583, 10.0, 5.0, 630.0
0.55, 0.9921259842519685, 0.984375, 0.988235294117647, 1.3135526624356284, 1.87435892044732, 1.3934748039842497, 1.6475487454437583, 10.0, 5.0, 630.0
0.6000000000000001, 0.9921259842519685, 0.984375, 0.988235294117647, 1.3135526624356284, 1.87435892044732, 1.3934748039842497, 1.6475487454437583, 10.0, 5.0, 630.0
0.6500000000000001, 0.9921259842519685, 0.984375, 0.988235294117647, 1.3135526624356284, 1.87435892044732, 1.3934748039842497, 1.6475487454437583, 10.0, 5.0, 630.0
0.7000000000000002, 0.984251968503937, 0.9765625, 0.9803921568627452, 1.31351123094279, 1.87951381560921, 1.3144558410122091, 1.395572747374308, 15.0, 10.0, 625.0
0.7500000000000002, 0.9811023622047244, 0.9734375, 0.9772549019607842, 1.3136014834098253, 1.882357647925139, 1.2859330861826044, 1.3035292460893453, 17.0, 12.0, 623.0
0.8000000000000003, 0.9622047244094488, 0.9546875, 0.9584313725490197, 1.3024068709886412, 1.8866137072792615, 1.1609965357195333, 0.9544707270255418, 29.0, 24.0, 611.0
0.8500000000000003, 0.9228346456692913, 0.915625, 0.9192156862745099, 1.2841122861787342, 1.914052746043215, 1.0737565433363507, 0.7445862876525029, 54.0, 49.0, 586.0
0.9000000000000004, 0.7889763779527559, 0.7828125, 0.7858823529411765, 1.2764317402876895, 1.9940840433080178, 0.9563215559195652, 0.5398032240406488, 139.0, 134.0, 501.0
0.9500000000000004, 0.2740157480314961, 0.271875, 0.27294117647058824, 1.161798028494181, 0.9591365793993536, 0.6974785928003017, 0.3643719283913367, 466.0, 461.0, 174.0
Avg, 0.8881889763779528, 0.88125, 0.8847058823529411, 1.2906072290044375, 1.8013194221353477, 1.2062841370907564, 1.1892529142348718, --, --, --
Time: 7.936511910000263
