File Name, True Positive, False Positive, False Negative 
colorIMG_53.png, 9, 0, 7, 
colorIMG_54.png, 10, 0, 6, 
colorIMG_55.png, 2, 0, 14, 
colorIMG_56.png, 7, 0, 9, 
colorIMG_57.png, 10, 0, 6, 
colorIMG_58.png, 5, 0, 11, 
colorIMG_59.png, 2, 1, 14, 
colorIMG_6.png, 4, 0, 12, 
colorIMG_60.png, 4, 1, 12, 
colorIMG_61.png, 2, 1, 14, 
colorIMG_62.png, 11, 0, 5, 
colorIMG_63.png, 3, 3, 13, 
colorIMG_64.png, 1, 4, 15, 
colorIMG_65.png, 15, 0, 1, 
colorIMG_66.png, 12, 0, 4, 
colorIMG_67.png, 4, 1, 12, 
colorIMG_68.png, 8, 0, 8, 
colorIMG_69.png, 3, 0, 13, 
colorIMG_7.png, 6, 0, 10, 
colorIMG_70.png, 2, 5, 14, 
colorIMG_71.png, 1, 5, 15, 
colorIMG_72.png, 5, 6, 11, 
colorIMG_73.png, 5, 0, 11, 
colorIMG_74.png, 5, 1, 11, 
colorIMG_75.png, 0, 3, 16, 
colorIMG_76.png, 6, 0, 10, 
colorIMG_77.png, 10, 1, 6, 
colorIMG_78.png, 2, 2, 14, 
colorIMG_79.png, 4, 0, 12, 
colorIMG_8.png, 10, 0, 6, 
colorIMG_80.png, 2, 2, 14, 
colorIMG_81.png, 5, 0, 11, 
colorIMG_82.png, 6, 1, 10, 
colorIMG_83.png, 10, 0, 6, 
colorIMG_84.png, 12, 0, 4, 
colorIMG_85.png, 6, 0, 10, 
colorIMG_86.png, 2, 1, 14, 
colorIMG_87.png, 10, 0, 6, 
colorIMG_88.png, 5, 0, 11, 
colorIMG_89.png, 12, 0, 4, 
colorIMG_9.png, 4, 0, 12, 
colorIMG_90.png, 3, 1, 13, 
colorIMG_91.png, 0, 0, 16, 
colorIMG_92.png, 0, 0, 16, 
colorIMG_93.png, 4, 1, 12, 
colorIMG_94.png, 3, 3, 13, 
colorIMG_95.png, 3, 2, 13, 
colorIMG_96.png, 0, 1, 16, 
colorIMG_97.png, 1, 2, 15, 
colorIMG_98.png, 5, 0, 11, 
colorIMG_99.png, 1, 0, 15, 
