IoU, Prec., Rec., F1, ang. err., std. ang. err., cent. err., std. cent. err. ,F. Neg, F. Pos, T. Pos 
0.5, 0.9556048834628191, 0.84, 0.8940809968847353, 1.4104494046790055, 1.018197131392492, 2.88084133172228, 1.8992788159459033, 164.0, 40.0, 861.0
0.55, 0.9556048834628191, 0.84, 0.8940809968847353, 1.4104494046790055, 1.018197131392492, 2.88084133172228, 1.8992788159459033, 164.0, 40.0, 861.0
0.6000000000000001, 0.9556048834628191, 0.84, 0.8940809968847353, 1.4104494046790055, 1.018197131392492, 2.88084133172228, 1.8992788159459033, 164.0, 40.0, 861.0
0.6500000000000001, 0.9556048834628191, 0.84, 0.8940809968847353, 1.4104494046790055, 1.018197131392492, 2.88084133172228, 1.8992788159459033, 164.0, 40.0, 861.0
0.7000000000000002, 0.951165371809101, 0.8360975609756097, 0.8899273104880582, 1.4034414155163903, 1.0151195673891258, 2.8254370755453118, 1.7212452054301643, 168.0, 44.0, 857.0
0.7500000000000002, 0.9456159822419534, 0.8312195121951219, 0.8847352024922118, 1.4021775776928127, 1.0178488556458838, 2.7742201740239603, 1.583344921505182, 173.0, 49.0, 852.0
0.8000000000000003, 0.9400665926748057, 0.8263414634146341, 0.8795430944963654, 1.3929349509416578, 1.0097426999932029, 2.7605918584913853, 1.5725463713977181, 178.0, 54.0, 847.0
0.8500000000000003, 0.8834628190899001, 0.7765853658536586, 0.8265835929387332, 1.3298886357055733, 0.9607133641199568, 2.660341414059036, 1.4395220998089262, 229.0, 105.0, 796.0
0.9000000000000004, 0.6692563817980022, 0.5882926829268292, 0.6261682242990655, 1.1062938196166217, 0.8041367944053456, 2.373560835201557, 1.0670840432937, 422.0, 298.0, 603.0
0.9500000000000004, 0.15871254162042175, 0.13951219512195123, 0.14849428868120457, 0.7789799698648885, 0.49483496934227034, 1.634006012780179, 0.7414272872107911, 882.0, 758.0, 143.0
Avg, 0.8370699223085459, 0.7358048780487805, 0.7831775700934578, 1.3055513988053966, 0.9375184776465751, 2.655152269699055, 1.5722285192430097, --, --, --
Time: 15.249357707998797
