IoU, Prec., Rec., F1, ang. err., std. ang. err., cent. err., std. cent. err. ,F. Neg, F. Pos, T. Pos 
0.5, 0.9734693877551021, 0.9307317073170732, 0.9516209476309228, 1.1018876518332041, 0.8545110037090867, 2.0794646216788917, 1.3552385669476184, 71.0, 26.0, 954.0
0.55, 0.9704081632653061, 0.9278048780487805, 0.9486284289276808, 1.101684217791178, 0.8544590436828621, 2.043437417245534, 1.195609460022164, 74.0, 29.0, 951.0
0.6000000000000001, 0.9704081632653061, 0.9278048780487805, 0.9486284289276808, 1.101684217791178, 0.8544590436828621, 2.043437417245534, 1.195609460022164, 74.0, 29.0, 951.0
0.6500000000000001, 0.9693877551020408, 0.926829268292683, 0.9476309226932669, 1.1015899492329444, 0.8549036979675062, 2.0368981906598753, 1.1791185382153608, 75.0, 30.0, 950.0
0.7000000000000002, 0.9693877551020408, 0.926829268292683, 0.9476309226932669, 1.1015899492329444, 0.8549036979675062, 2.0368981906598753, 1.1791185382153608, 75.0, 30.0, 950.0
0.7500000000000002, 0.9673469387755103, 0.9248780487804878, 0.945635910224439, 1.1021304207179208, 0.8555085097816805, 2.029771726927503, 1.1699661417565388, 77.0, 32.0, 948.0
0.8000000000000003, 0.9581632653061225, 0.9160975609756098, 0.9366583541147132, 1.0944217961051343, 0.844414801180964, 2.006440764721446, 1.1502143180163211, 86.0, 41.0, 939.0
0.8500000000000003, 0.8775510204081632, 0.8390243902439024, 0.85785536159601, 1.0193391468829256, 0.7396527644333495, 1.8832914833342358, 1.0533913233833556, 165.0, 120.0, 860.0
0.9000000000000004, 0.5, 0.47804878048780486, 0.48877805486284287, 0.7804978448082638, 0.5266092779167647, 1.477145000381982, 0.7983384080432785, 535.0, 490.0, 490.0
0.9500000000000004, 0.05408163265306123, 0.05170731707317073, 0.05286783042394015, 0.3950735263325914, 0.2899511974426082, 0.99158103301772, 0.6760401046495739, 972.0, 927.0, 53.0
Avg, 0.8210204081632652, 0.7849756097560976, 0.8025935162094764, 0.9899898720728284, 0.752937303776519, 1.8628365845872596, 1.0952644859271736, --, --, --
Time: 14.91213466399131
