IoU, Prec., Rec., F1, ang. err., std. ang. err., cent. err., std. cent. err. ,F. Neg, F. Pos, T. Pos 
0.5, 0.9844559585492227, 0.9903201787043932, 0.9873793615441723, 1.1131193605038812, 0.9644926354594828, 2.4494866113898435, 1.3077906382290017, 13.0, 21.0, 1330.0
0.55, 0.9844559585492227, 0.9903201787043932, 0.9873793615441723, 1.1131193605038812, 0.9644926354594828, 2.4494866113898435, 1.3077906382290017, 13.0, 21.0, 1330.0
0.6000000000000001, 0.9844559585492227, 0.9903201787043932, 0.9873793615441723, 1.1131193605038812, 0.9644926354594828, 2.4494866113898435, 1.3077906382290017, 13.0, 21.0, 1330.0
0.6500000000000001, 0.9844559585492227, 0.9903201787043932, 0.9873793615441723, 1.1131193605038812, 0.9644926354594828, 2.4494866113898435, 1.3077906382290017, 13.0, 21.0, 1330.0
0.7000000000000002, 0.9844559585492227, 0.9903201787043932, 0.9873793615441723, 1.1131193605038812, 0.9644926354594828, 2.4494866113898435, 1.3077906382290017, 13.0, 21.0, 1330.0
0.7500000000000002, 0.9844559585492227, 0.9903201787043932, 0.9873793615441723, 1.1131193605038812, 0.9644926354594828, 2.4494866113898435, 1.3077906382290017, 13.0, 21.0, 1330.0
0.8000000000000003, 0.9844559585492227, 0.9903201787043932, 0.9873793615441723, 1.1131193605038812, 0.9644926354594828, 2.4494866113898435, 1.3077906382290017, 13.0, 21.0, 1330.0
0.8500000000000003, 0.9718726868985936, 0.9776619508562919, 0.9747587230883444, 1.0977427973110732, 0.957433670667467, 2.4339200077616887, 1.2862195993662047, 30.0, 38.0, 1313.0
0.9000000000000004, 0.8719467061435974, 0.8771407297096053, 0.8745360059391241, 0.9963357083455238, 0.8385016734189309, 2.344176824424853, 1.1876981740740313, 165.0, 173.0, 1178.0
0.9500000000000004, 0.32272390821613617, 0.3246463142218913, 0.32368225686711205, 0.7059493689267263, 0.5752143992312936, 1.63689699496042, 0.6835045301515155, 907.0, 915.0, 436.0
Avg, 0.9057735011102886, 0.911169024571854, 0.9084632516703786, 1.0591863398110493, 0.9122598191534073, 2.3561400106875867, 1.231195677119476, --, --, --
Time: 15.255551203999858
