IoU, Prec., Rec., F1, ang. err., std. ang. err., cent. err., std. cent. err. ,F. Neg, F. Pos, T. Pos 
0.5, 0.9804255319148936, 0.9956784788245462, 0.9879931389365351, 1.0225317414345751, 0.7347161262516413, 0.0, 0.0, 5.0, 23.0, 1152.0
0.55, 0.9804255319148936, 0.9956784788245462, 0.9879931389365351, 1.0225317414345751, 0.7347161262516413, 0.0, 0.0, 5.0, 23.0, 1152.0
0.6000000000000001, 0.9804255319148936, 0.9956784788245462, 0.9879931389365351, 1.0225317414345751, 0.7347161262516413, 0.0, 0.0, 5.0, 23.0, 1152.0
0.6500000000000001, 0.9804255319148936, 0.9956784788245462, 0.9879931389365351, 1.0225317414345751, 0.7347161262516413, 0.0, 0.0, 5.0, 23.0, 1152.0
0.7000000000000002, 0.9804255319148936, 0.9956784788245462, 0.9879931389365351, 1.0225317414345751, 0.7347161262516413, 0.0, 0.0, 5.0, 23.0, 1152.0
0.7500000000000002, 0.9787234042553191, 0.9939498703543648, 0.986277873070326, 1.0228313913959117, 0.7352857538906209, 0.0, 0.0, 7.0, 25.0, 1150.0
0.8000000000000003, 0.9787234042553191, 0.9939498703543648, 0.986277873070326, 1.0228313913959117, 0.7352857538906209, 0.0, 0.0, 7.0, 25.0, 1150.0
0.8500000000000003, 0.963404255319149, 0.9783923941227312, 0.9708404802744425, 1.0027206172188305, 0.7183668919940671, 0.0, 0.0, 25.0, 43.0, 1132.0
0.9000000000000004, 0.8765957446808511, 0.8902333621434745, 0.8833619210977701, 0.9485553924464079, 0.6719885116605184, 0.0, 0.0, 127.0, 145.0, 1030.0
0.9500000000000004, 0.465531914893617, 0.4727744165946413, 0.4691252144082333, 0.8118502289134246, 0.5349289468557686, 0.0, 0.0, 610.0, 628.0, 547.0
Avg, 0.9165106382978724, 0.9307692307692307, 0.9235849056603772, 0.9921447728543363, 0.7069436489549803, 0.0, 0.0, --, --, --
Time: 15.491147716001251
