, 66, 78, 90, 103, 115, 127, 139, 152
38, 0.24252638, 0.27503138, 0.28670838, 0.31379738, 0.31015938, 0.30541938, 0.30373138, 0.390378
51, 0.41451, 0.391851, 0.39250951, 0.40293151, 0.39931951, 0.4106751, 0.43078651, 0.44
63, 0.38946263, 0.39205463, 0.39638863, 0.41412663, 0.43292563, 0.42309463, 0.42157363, 0.404566
76, 0.41334876, 0.40582376, 0.39483176, 0.4176876, 0.40827776, 0.4080976, 0.39315176, 0.386333
89, 0.43134789, 0.42328289, 0.42671189, 0.41324489, 0.41781789, 0.39841389, 0.3972789, 0.386912
