Threshold low: 0 Threshold high15
  IoU       Prec.        Rec.          F1   ang. err.  a. e. std.      F. Neg      F. Pos      T. Pos
 0.75    0.300395     0.11875    0.170213      1.2121      1.5627         564         177          76
  0.8    0.272727    0.107813    0.154535     1.18065     1.58757         571         184          69
 0.85    0.177866   0.0703125    0.100784    0.847697    0.995491         595         208          45
  0.9   0.0750988   0.0296875   0.0425532     1.09357     1.37249         621         234          19
 0.95  0.00790514    0.003125  0.00447928    0.900715    0.259815         638         251           2
  Avg    0.273123    0.107969    0.154759          --          --          --          --          --
Time: 1827.76
Threshold low: 30 Threshold high60
  IoU       Prec.        Rec.          F1   ang. err.  a. e. std.      F. Neg      F. Pos      T. Pos
  0.5    0.610837     0.19375    0.294187     2.57879     6.97432         516          79         124
 0.55    0.596059    0.189062     0.28707     2.34845     6.80327         519          82         121
  0.6    0.586207    0.185938    0.282325     1.74565     3.27574         521          84         119
 0.65    0.561576    0.178125    0.270463     1.25324     1.44571         526          89         114
  0.7    0.541872    0.171875    0.260973     1.20459     1.42592         530          93         110
 0.75     0.53202     0.16875    0.256228     1.11033     1.22067         532          95         108
  0.8    0.463054    0.146875    0.223013     1.11969     1.27986         546         109          94
 0.85    0.344828    0.109375    0.166074    0.908608    0.900832         570         133          70
  0.9    0.167488    0.053125   0.0806643    0.748015    0.848716         606         169          34
 0.95   0.0147783   0.0046875  0.00711744    0.655423    0.402362         637         200           3
  Avg    0.441872    0.140156    0.212811          --          --          --          --          --
Time: 1675.48
Threshold low: 30 Threshold high75
  IoU       Prec.        Rec.          F1   ang. err.  a. e. std.      F. Neg      F. Pos      T. Pos
  0.5    0.769231        0.25    0.377358     2.11834     4.11602         480          48         160
 0.55    0.759615    0.246875    0.372642     2.06475       4.055         482          50         158
  0.6    0.730769      0.2375    0.358491     1.50088     2.70938         488          56         152
 0.65    0.721154    0.234375    0.353774     1.37946      2.3743         490          58         150
  0.7    0.706731    0.229687    0.346698     1.24801     2.18369         493          61         147
 0.75    0.692308       0.225    0.339623     1.04284    0.939985         496          64         144
  0.8    0.620192    0.201563    0.304245    0.965153    0.859447         511          79         129
 0.85    0.466346    0.151562    0.228774    0.884382    0.784533         543         111          97
  0.9    0.259615    0.084375    0.127358    0.679465    0.629295         586         154          54
 0.95   0.0528846   0.0171875   0.0259434    0.666998     0.57224         629         197          11
  Avg    0.577885    0.187812    0.283491          --          --          --          --          --
Time: 1389.14
Threshold low: 45 Threshold high60
  IoU       Prec.        Rec.          F1   ang. err.  a. e. std.      F. Neg      F. Pos      T. Pos
  0.5    0.791837    0.303125    0.438418     2.60621     5.50706         446          51         194
 0.55    0.771429    0.295312    0.427119     2.27098     4.52733         451          56         189
  0.6    0.746939    0.285938    0.413559     1.99532      4.1828         457          62         183
 0.65    0.730612    0.279687     0.40452     1.87001     4.05287         461          66         179
  0.7    0.710204    0.271875     0.39322     1.59469     3.48049         466          71         174
 0.75    0.681633    0.260937    0.377401     1.41848     3.39574         473          78         167
  0.8     0.62449    0.239063    0.345763     1.09307     1.06099         487          92         153
 0.85    0.453061    0.173437    0.250847    0.981615    0.946845         529         134         111
  0.9    0.236735    0.090625    0.131073    0.771471    0.688217         582         187          58
 0.95   0.0326531      0.0125   0.0180791    0.528691    0.411375         632         237           8
  Avg    0.577959     0.22125        0.32          --          --          --          --          --
Time: 1443.17
Threshold low: 45 Threshold high75
  IoU       Prec.        Rec.          F1   ang. err.  a. e. std.      F. Neg      F. Pos      T. Pos
  0.5     0.90393    0.323437     0.47641     1.81077     3.00646         433          22         207
 0.55    0.895197    0.320313    0.471807     1.79362     2.99734         435          24         205
  0.6    0.877729    0.314063    0.462601     1.54001     2.35675         439          28         201
 0.65    0.855895     0.30625    0.451093     1.35132     1.86499         444          33         196
  0.7    0.838428         0.3    0.441887     1.23419     1.38116         448          37         192
 0.75    0.812227    0.290625    0.428078     1.15773      1.2319         454          43         186
  0.8    0.751092     0.26875    0.395857     1.09569     1.08335         468          57         172
 0.85    0.537118    0.192188    0.283084     0.92544    0.845195         517         106         123
  0.9    0.262009     0.09375     0.13809    0.721424    0.640784         580         169          60
 0.95   0.0393013   0.0140625   0.0207135    0.733485    0.631961         631         220           9
  Avg    0.677293    0.242344    0.356962          --          --          --          --          --
Time: 1449.7
Threshold low: 45 Threshold high90
  IoU       Prec.        Rec.          F1   ang. err.  a. e. std.      F. Neg      F. Pos      T. Pos
  0.5       0.944     0.36875    0.530337     1.93485     3.76124         404          14         236
 0.55       0.928      0.3625    0.521348     1.59114      2.6033         408          18         232
  0.6       0.908    0.354687    0.510112     1.38778      2.1525         413          23         227
 0.65         0.9    0.351563    0.505618     1.28682     1.80932         415          25         225
  0.7       0.872    0.340625    0.489888     1.16378     1.31657         422          32         218
 0.75       0.836    0.326562    0.469663     1.07518     1.15439         431          41         209
  0.8       0.744    0.290625    0.417978    0.992632    0.986749         454          64         186
 0.85       0.524    0.204687    0.294382    0.849499    0.780615         509         119         131
  0.9       0.256         0.1     0.14382    0.728341    0.645311         576         186          64
 0.95       0.048     0.01875   0.0269663    0.709707    0.641639         628         238          12
  Avg       0.696    0.271875    0.391011          --          --          --          --          --
Time: 1168.55
