val_loss,val_regression_loss,val_classification_loss,loss,regression_loss,classification_loss,mAP,lr
1.39955735206604,0.4868433475494385,0.4057881832122803,1.6645021817566437,0.70788765,0.9566144,0.7627468696520499,1e-05
0.5195737481117249,0.4169674515724182,0.07392138987779617,0.6669269353151321,0.47857007,0.18835676,0.9826339094427704,1e-05
0.45778924226760864,0.37806063890457153,0.044445883482694626,0.47559902513468705,0.419966,0.055632852,0.988069621908376,1e-05
0.3713711202144623,0.34708112478256226,0.030337918549776077,0.4134204452972353,0.37916818,0.03425234,0.9877514821772702,1e-05
0.3567811846733093,0.3373444676399231,0.022405201569199562,0.38783757066653096,0.36289418,0.024943413,0.9865169398061631,1e-05
0.3676735460758209,0.3430100083351135,0.01805751398205757,0.36036935522232527,0.3413952,0.018974185,0.9923504481834028,1e-05
0.3557106852531433,0.32009902596473694,0.014989303424954414,0.34513569052940535,0.3299597,0.01517602,0.9950573957987549,1e-05
0.28714388608932495,0.2982803285121918,0.012902853079140186,0.3305323914061358,0.31779885,0.012733555,0.9953025611233426,1e-05
0.29834067821502686,0.30356255173683167,0.011198138818144798,0.31697974418416436,0.30598953,0.0109903375,0.9968311516413442,1e-05
0.3364182114601135,0.29964715242385864,0.010222364217042923,0.31053390882817317,0.30103615,0.009497759,0.9964999760702365,1e-05
0.27778661251068115,0.3004300892353058,0.009480050764977932,0.29635263602306816,0.28797767,0.008375015,0.9920792280948947,1e-05
0.2587416172027588,0.2885770797729492,0.008466707542538643,0.2906841703311161,0.28306964,0.0076145935,0.9949120864517629,1e-05
0.3057488799095154,0.2944193482398987,0.008231616578996181,0.28544943540552514,0.27847698,0.006972512,0.9961965670147241,1e-05
0.24045097827911377,0.286306768655777,0.007330772932618856,0.2756804513434569,0.26936868,0.006311767,0.9957725266688935,1e-05
0.2436761111021042,0.2897408902645111,0.006977161858230829,0.26621950417757034,0.26056316,0.005656315,0.9946503323499651,1e-05
0.22614368796348572,0.2747673988342285,0.006855127401649952,0.26565170177706965,0.26020357,0.005448066,0.9923506971151885,1e-05
0.21942372620105743,0.27696436643600464,0.006459092255681753,0.2568782638804412,0.25215173,0.0047265533,0.9925740290490459,1e-05
0.22080832719802856,0.27393871545791626,0.005855103023350239,0.2506792525542371,0.24612983,0.0045494847,0.9973493167613134,1e-05
0.21671640872955322,0.2825559079647064,0.005984422750771046,0.2459890102898633,0.24169317,0.004295851,0.9962188967909495,1e-05
0.2100706249475479,0.28086453676223755,0.0059106904082000256,0.23922655027773645,0.23526622,0.0039603096,0.993772497531711,1e-05
0.2065323293209076,0.2878640294075012,0.005983009468764067,0.2342216141613913,0.23048486,0.0037367921,0.9940739471407489,1e-05
0.20350578427314758,0.27209386229515076,0.005172767210751772,0.23184672154394198,0.2283427,0.0035040514,0.9993974169022148,1e-05
0.20023994147777557,0.27011826634407043,0.005067866761237383,0.22390365906427673,0.22057062,0.0033330258,0.9958985397282618,1e-05
0.23669064044952393,0.27594077587127686,0.004748524632304907,0.21923133776879605,0.21622957,0.0030018375,0.9928861172298633,1e-05
0.2224365770816803,0.27411264181137085,0.005155320279300213,0.21425732664395997,0.2113096,0.0029477081,0.9934816343206279,1e-05
